Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte,Total
COL COLOMBO BRIGHTON - SEDE PRINCIPAL,8.0,8.48,10.0,0.0,6.25,4.95,6.0,6.240000000000001
CENT EDUC PARA JOVENES Y ADULTOS LEPANTO,3.5,7.45,10.0,7.0,7.25,10.0,6.5,7.385714285714286
NUEVO LIC GRANADINO,0.0,0.0,2.0,4.0,1.5,10.0,3.0,2.9285714285714284
COL BRITANICO SEDE KENNEDY,1.75,4.25,6.0,3.0,6.25,10.0,4.0,5.035714285714286
CENT EDUC WILFREDO LEHNER,5.5,8.65,10.0,4.5,1.5,10.0,2.75,6.128571428571428
COL COLOMBO JAPONES,0.0,9.34,10.0,1.0,3.0,10.0,4.0,5.3342857142857145
COL INST INSCAP SEDE FERIAS,1.5,7.819999999999999,8.0,1.0,10.0,6.950000000000001,10.0,6.467142857142858
CENT PANAMERICANO DE CAPACITACION SEDE RESTREPO,0.0,2.9400000000000004,0.0,5.5,8.5,10.0,9.5,5.2057142857142855
COL CIUDAD PATIO BONITO,0.0,2.99,0.0,2.5,3.5,10.0,3.0,3.141428571428572
EXTERN SIMON BOLIVAR,0.0,0.0,0.0,10.0,10.0,7.1000000000000005,10.0,5.3
COL DE FORMACION INTEGRAL VIRGEN DE LA PEÑA,7.25,7.25,10.0,1.0,7.25,8.3,2.75,6.257142857142857
COL CLARETIANO EL LIBERTADOR  - SEDE PRINCIPAL,0.5,5.75,2.0,3.5,1.5,10.0,2.5,3.6785714285714284
COL LA NUEVA ESTANCIA,6.5,5.25,8.0,2.0,2.25,10.0,3.25,5.321428571428571
UNID EDUC JEAN PIAGET,8.5,6.58,10.0,1.0,8.5,8.8,4.75,6.8757142857142854
COL ESTRADA DE MARIA AUXILIADORA,5.0,3.4299999999999997,10.0,1.0,10.0,7.15,10.0,6.654285714285714
COLEGIO MAYOR PRIMEROS MAESTROS,4.0,4.69,4.0,2.0,10.0,9.400000000000002,7.75,5.977142857142858
INST TENERIFE,0.0,7.790000000000001,10.0,5.0,2.75,10.0,2.75,5.47
INST ACAD BETHEL,7.5,1.06,10.0,9.0,8.5,10.0,6.25,7.472857142857143
COLEGIO ERNESTO GUHL - SEDE PRINCIPAL,1.75,6.99,10.0,2.0,2.0,10.0,3.0,5.105714285714286
COL ARTEAGA MUÑOZ,0.0,3.32,0.0,4.0,8.25,10.0,9.25,4.974285714285714
COL MAYOR DEL QUIROGA  (TALLER INF QUIROGA),9.0,5.73,10.0,1.0,7.0,10.0,7.0,7.104285714285715
COLEGIO FRANCISCO I,7.0,5.15,10.0,6.0,2.0,10.0,2.5,6.0928571428571425
LIC LA ESPAÑOLA GABRIEL ANZOLA GOMEZ,6.0,9.65,10.0,1.0,10.0,8.8,9.25,7.814285714285715
COL DEL SANTISIMO ROSARIO,0.5,0.0,10.0,6.0,10.0,10.0,6.75,6.178571428571429
COL CATOLICO DE LA SABANA,8.5,9.13,10.0,3.5,7.25,7.7,3.0,7.0114285714285725
INST PEDAG PARA EL DESARROLLO INTEGRAL CREAR,4.25,8.45,10.0,2.5,10.0,8.25,7.75,7.314285714285715
COL ADVENTISTA EMMANUEL,0.0,4.13,10.0,3.5,9.25,10.0,8.5,6.482857142857142
INST SUP COOPERATIVO,3.0,6.85,10.0,1.0,10.0,9.15,8.75,6.964285714285714
COL TOMAS ALVA EDISON,8.5,9.95,10.0,1.0,3.25,6.1,2.0,5.828571428571429
ESC NORMAL SUPERIOR NSTRA SRA DE LA PAZ,5.25,8.62,6.0,3.0,8.25,10.0,8.5,7.088571428571428
COL MARIA INMACULADA,8.0,4.790000000000001,10.0,3.5,6.0,2.35,4.75,5.627142857142857
GIMN NUEVO SUBA,0.0,2.64,10.0,5.0,6.5,8.0,3.25,5.055714285714286
COL NSTRA SRA DE NAZARETH,0.0,3.0,6.0,3.0,1.5,10.0,2.75,3.75
COLEGIO SANTO DOMINGO BILINGÜE,2.75,9.3,8.0,0.0,6.25,10.0,4.75,5.864285714285714
